Nombre,Categoria,Precio,IVA,Cantidad
Agua,AGUA,1.20,IVA_DIEZ,54
Agua con gas,AGUA,1.50,IVA_DIEZ,30
Cerveza Victoria,CERVEZA,2.55,IVA_VETIUNO,42
Cerveza Mahou,CERVEZA,2.55,IVA_VETIUNO,32
Coca Cola,REFRESCO,2.55,IVA_DIEZ,45
Nestea,REFRESCO,2.55,IVA_DIEZ,42
Fanta limón,REFRESCO,2.55,IVA_DIEZ,42
Té verde,TE,2.75,IVA_DIEZ,30
Té negro,TE,2.75,IVA_DIEZ,30
Cerveza Asahi,CERVEZA,3.55,IVA_VETIUNO,35
Cerveza Sapporo,CERVEZA,3.55,IVA_VETIUNO,35
Sprite,REFRESCO,2.55,IVA_DIEZ,45
Fanta naranja,REFRESCO,2.55,IVA_DIEZ,42
Pepsi,REFRESCO,2.55,IVA_DIEZ,42
Agua mineral,AGUA,1.70,IVA_DIEZ,50
Zumo de naranja,ZUMO,3.55,IVA_DIEZ,30
Zumo de manzana,ZUMO,3.55,IVA_DIEZ,30
