Nombre,Categoria,Precio,IVA,Cantidad
Poke de pollo,POKE,11.99,IVA_DIEZ,10
Poke de salmón,POKE,12.59,IVA_DIEZ,14
Wrap de pollo,WRAP,13.35,IVA_DIEZ,23
Wrap de ternera,WRAP,12.99,IVA_DIEZ,25
Loco Moko pollo teriyaki,LOCO_MOCO,10.99,IVA_DIEZ,32
Loco Moko gambas,LOCO_MOCO,10.99,IVA_DIEZ,2
Poke de atún picante,POKE,13.99,IVA_DIEZ,15
Poke de tofu,POKE,11.59,IVA_DIEZ,18
Wrap de cangrejo,WRAP,14.35,IVA_DIEZ,20
Wrap de gambas,WRAP,14.99,IVA_DIEZ,22
Poke de pulpo,POKE,14.99,IVA_DIEZ,12
Poke de tofu y verduras,POKE,11.99,IVA_DIEZ,16
Wrap de salmón,WRAP,15.35,IVA_DIEZ,24
Wrap de atún,WRAP,15.99,IVA_DIEZ,26
Poke de gambas,POKE,13.99,IVA_DIEZ,14
Poke de cangrejo,POKE,13.59,IVA_DIEZ,16
