Nombre,Categoria,Precio,IVA,Cantidad
Poke de pollo,POKE,11.99,IVA_DIEZ,10
Poke de salmón,POKE,12.59,IVA_DIEZ,14
Wrap de pollo,WRAP,13.35,IVA_DIEZ,23
Wrap de ternera,WRAP,12.99,IVA_DIEZ,25
Loco Moko pollo teriyaki,LOCO_MOCO,10.99,IVA_DIEZ,32
Loco Moko gambas,LOCO_MOCO,10.99,IVA_DIEZ,2
Poke de atún picante,POKE,13.99,IVA_DIEZ,15
Poke de tofu,POKE,11.59,IVA_DIEZ,18
Wrap de cangrejo,WRAP,14.35,IVA_DIEZ,20
Wrap de gambas,WRAP,14.99,IVA_DIEZ,22
Poke de pulpo,POKE,14.99,IVA_DIEZ,12
Poke de tofu y verduras,POKE,11.99,IVA_DIEZ,16
Wrap de salmón,WRAP,15.35,IVA_DIEZ,24
Wrap de atún,WRAP,15.99,IVA_DIEZ,26
Poke de gambas,POKE,13.99,IVA_DIEZ,14
Poke de cangrejo,POKE,13.59,IVA_DIEZ,16
Agua,AGUA,1.20,IVA_DIEZ,54
Agua con gas,AGUA,1.50,IVA_DIEZ,30
Cerveza Victoria,CERVEZA,2.55,IVA_VETIUNO,42
Cerveza Mahou,CERVEZA,2.55,IVA_VETIUNO,32
Coca Cola,REFRESCO,2.55,IVA_DIEZ,45
Nestea,REFRESCO,2.55,IVA_DIEZ,42
Fanta limón,REFRESCO,2.55,IVA_DIEZ,42
Té verde,REFRESCO,2.75,IVA_DIEZ,30
Té negro,REFRESCO,2.75,IVA_DIEZ,30
Cerveza Asahi,CERVEZA,3.55,IVA_VETIUNO,35
Cerveza Sapporo,CERVEZA,3.55,IVA_VETIUNO,35
Sprite,REFRESCO,2.55,IVA_DIEZ,45
Fanta naranja,REFRESCO,2.55,IVA_DIEZ,42
Pepsi,REFRESCO,2.55,IVA_DIEZ,42
Agua mineral,AGUA,1.70,IVA_DIEZ,50
Zumo de naranja,REFRESCO,3.55,IVA_DIEZ,30
Zumo de manzana,REFRESCO,3.55,IVA_DIEZ,30
Helado de chocolate,HELADO,2.45,IVA_DIEZ,40
Helado de vainilla,HELADO,2.45,IVA_DIEZ,37
Bowl frutas del bosque,FRUTA,3.90,IVA_DIEZ,45
Fruta mixta,FRUTA,2.90,IVA_DIEZ,42
Tarta de chocolate,TARTA,4.59,IVA_DIEZ,33
Tarta de queso,TARTA,4.59,IVA_DIEZ,34
Helado de fresa,HELADO,2.45,IVA_DIEZ,38
Helado de matcha,HELADO,2.95,IVA_DIEZ,35
Bowl de frutas tropicales,FRUTA,3.9,IVA_DIEZ,45
Fruta de la pasión,FRUTA,2.90,IVA_DIEZ,42
Tarta de manzana,TARTA,4.59,IVA_DIEZ,33
Tarta de fresa,TARTA,4.59,IVA_DIEZ,34
Mochi de vainilla,TARTA,3.59,IVA_DIEZ,30
Mochi de chocolate,TARTA,3.59,IVA_DIEZ,30
Mochi de fresa,TARTA,3.59,IVA_DIEZ,30
Mochi de matcha,TARTA,3.59,IVA_DIEZ,30
